Respondent,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,WebFrameWorkedWith,MiscTechWorkedWith
1634,Assembly;Bash/Shell/PowerShell;C;Python,MongoDB,Arduino;AWS;Google Cloud Platform;Linux;Raspberry Pi;Windows,Flask,Pandas;TensorFlow
1639,Bash/Shell/PowerShell;Java;JavaScript;Python;Scala,PostgreSQL;SQLite;Other(s):,AWS;Docker;Kubernetes;Linux;MacOS;Slack,Express;jQuery;React.js,Ansible;Apache Spark;Hadoop;Node.js;Pandas;Torch/PyTorch
1640,,,,,
1655,C;HTML/CSS;JavaScript;TypeScript,MongoDB,Docker;MacOS;Windows,Angular/Angular.js;jQuery,
1679,Dart;Java;JavaScript;Kotlin;TypeScript,,Android;Microsoft Azure,React.js;Vue.js,Flutter;Node.js;React Native;TensorFlow
1681,C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL,MySQL;SQLite,Android,jQuery;Other(s):,
1739,HTML/CSS;Java;Other(s):,MySQL;Oracle,AWS;Linux;Microsoft Azure,Express,Node.js
1742,HTML/CSS;Java;JavaScript;SQL;TypeScript,MySQL,Google Cloud Platform;Linux;Slack,Angular/Angular.js;jQuery;Spring,
1743,C;C++;Java;Python,,Linux;Windows,Spring,Node.js;Torch/PyTorch
1760,,MariaDB;MySQL;SQLite,Linux,Laravel;Vue.js,Node.js
1763,Objective-C;Python;Swift,,Android;iOS,,
1765,HTML/CSS;Java;JavaScript;PHP;Ruby;SQL,MariaDB;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Windows,,
1775,Assembly;C;C++;Java;JavaScript;Kotlin;Scala;SQL;TypeScript,Cassandra;DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Android;AWS;Google Cloud Platform;Linux;Microsoft Azure;Slack;Windows,Angular/Angular.js;Express;Flask;jQuery;React.js;Spring,Apache Spark;Node.js
1786,,,Docker;Google Cloud Platform;Linux,,
1795,Java;Kotlin,Firebase;MySQL,Android;Google Cloud Platform,Angular/Angular.js,Flutter;React Native;TensorFlow
1798,HTML/CSS;Java;JavaScript;SQL,Oracle,Windows,jQuery,
1804,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL,Arduino;AWS;Docker;Google Cloud Platform;iOS;MacOS,Angular/Angular.js;jQuery;Laravel,Cordova
1824,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Windows,Angular/Angular.js;ASP.NET;jQuery,.NET
1845,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MySQL,Microsoft Azure;Windows,ASP.NET;jQuery,.NET;.NET Core
1861,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,DynamoDB;Elasticsearch;PostgreSQL;Redis,AWS;Google Cloud Platform,Django;React.js;Vue.js,Pandas
1863,Java;SQL,PostgreSQL;Redis,Windows,Spring,Chef
1875,Java,MySQL,,,
1880,R,,,,
1883,HTML/CSS;Java;JavaScript;SQL,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Android;AWS;Linux;MacOS;Slack,Angular/Angular.js;Express;jQuery;React.js;Spring,Apache Spark;Chef;Flutter;Hadoop;Node.js;React Native
1913,Java;SQL,Oracle,Windows,,
1924,C++;JavaScript;Python;SQL,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,AWS;Heroku;Linux;Windows,Django;Flask;jQuery;Other(s):,Pandas;TensorFlow
